name,handedness,height,weight,avg,HR,BMI,BMI_Range
Tucker Ashford,Right Handed,73,195,0.218,6,26,Overweight
Ned Yost,Right Handed,73,190,0.212,16,25,Overweight
Bob Stinson,Both Handed,71,180,0.25,33,25,Overweight
Gaylord Perry,Right Handed,76,205,0.131,6,25,Overweight
Dave Marshall,Left Handed,73,182,0.246,16,24,Normal
Mickey Hatcher,Right Handed,74,200,0.28,38,26,Overweight
Roger Repoz,Left Handed,75,190,0.224,82,24,Normal
John Orsino,Right Handed,75,215,0.249,40,27,Overweight
Johnny Briggs,Left Handed,73,190,0.253,139,25,Overweight
Dave Hostetler,Right Handed,76,215,0.229,37,26,Overweight
Bob Jones,Left Handed,74,195,0.221,20,25,Overweight
Keith Hernandez,Left Handed,72,180,0.296,162,24,Normal
Dean Chance,Right Handed,75,200,0.066,0,25,Overweight
Willie Upshaw,Left Handed,72,185,0.262,123,25,Overweight
Dick Green,Right Handed,70,180,0.24,80,26,Overweight
Dane Iorg,Left Handed,72,180,0.276,14,24,Normal
Richie Hebner,Left Handed,73,195,0.276,203,26,Overweight
Fran Healy,Right Handed,77,220,0.25,20,26,Overweight
Doc Edwards,Right Handed,74,215,0.238,15,28,Overweight
Sandy Alomar,Both Handed,69,140,0.245,13,21,Normal
Joe Strain,Right Handed,70,169,0.25,1,24,Normal
Gene Richards,Left Handed,72,175,0.29,26,24,Normal
Buddy Bell,Right Handed,73,180,0.279,201,24,Normal
Al Woods,Left Handed,75,190,0.271,35,24,Normal
Rudy Law,Left Handed,73,165,0.271,18,22,Normal
Jody Davis,Right Handed,76,192,0.245,127,23,Normal
Mike Edwards,Right Handed,70,154,0.25,2,22,Normal
Deron Johnson,Right Handed,74,200,0.244,245,26,Overweight
John Denny,Right Handed,75,185,0.17,0,23,Normal
Don Wert,Right Handed,70,162,0.242,77,23,Normal
Mike Fiore,Left Handed,72,175,0.227,13,24,Normal
Miguel Dilone,Both Handed,72,160,0.265,6,22,Normal
Greg Luzinski,Right Handed,73,220,0.276,307,29,Overweight
Bobby Tolan,Left Handed,71,170,0.265,86,24,Normal
Ron Woods,Right Handed,70,168,0.233,26,24,Normal
Tony Horton,Right Handed,75,210,0.268,76,26,Overweight
Randy Hundley,Right Handed,71,170,0.236,82,24,Normal
Jose Tartabull,Left Handed,71,165,0.261,2,23,Normal
Ben Oglivie,Left Handed,74,160,0.273,235,21,Normal
Bob Johnson,Right Handed,70,175,0.272,44,25,Overweight
Don Buford,Both Handed,67,160,0.264,93,25,Overweight
Duane Kuiper,Left Handed,72,175,0.271,1,24,Normal
Brant Alyea,Right Handed,75,215,0.247,38,27,Overweight
Jerry Narron,Left Handed,75,205,0.211,21,26,Overweight
Lou Johnson,Right Handed,71,170,0.258,48,24,Normal
Ken Retzer,Left Handed,72,185,0.264,14,25,Overweight
Mike Brown,Right Handed,74,195,0.265,23,25,Overweight
Greg Walker,Left Handed,75,205,0.26,113,26,Overweight
Terry Harper,Right Handed,76,195,0.253,36,24,Normal
Jerry Royster,Right Handed,72,165,0.249,40,22,Normal
Barry Bonnell,Right Handed,75,190,0.272,56,24,Normal
Tom Seaver,Right Handed,73,195,0.154,12,26,Overweight
Jerry Martin,Right Handed,73,195,0.251,85,26,Overweight
Bill Stein,Right Handed,70,170,0.267,44,24,Normal
Joel Youngblood,Right Handed,72,180,0.265,80,24,Normal
Reggie Jackson,Left Handed,72,195,0.262,563,26,Overweight
Sonny Jackson,Left Handed,69,150,0.251,7,22,Normal
Rodney Scott,Both Handed,72,160,0.236,3,22,Normal
Rich Coggins,Left Handed,68,170,0.265,12,26,Overweight
Phil Gagliano,Right Handed,73,180,0.238,14,24,Normal
Jerry McNertney,Right Handed,72,180,0.237,27,24,Normal
Mitchell Page,Left Handed,74,205,0.266,72,26,Overweight
Kiko Garcia,Right Handed,71,180,0.239,12,25,Overweight
Larry Milbourne,Both Handed,72,161,0.254,11,22,Normal
Bill Sudakis,Both Handed,73,190,0.234,59,25,Overweight
Domingo Ramos,Right Handed,70,154,0.24,8,22,Normal
Ron Oester,Both Handed,74,185,0.265,42,24,Normal
Glenn Adams,Left Handed,73,180,0.28,34,24,Normal
Joe Morgan,Left Handed,67,160,0.271,268,25,Overweight
R.J. Reynolds,Both Handed,72,190,0.267,35,26,Overweight
Lee Thomas,Left Handed,74,195,0.255,106,25,Overweight
Ray Fosse,Right Handed,74,215,0.256,61,28,Overweight
Paul Popovich,Both Handed,72,175,0.233,14,24,Normal
John Stephenson,Left Handed,71,180,0.216,12,25,Overweight
Doug Clemens,Left Handed,72,180,0.229,12,24,Normal
Orlando Mercado,Right Handed,72,180,0.199,7,24,Normal
Charley Smith,Right Handed,73,170,0.239,69,22,Normal
Buddy Biancalana,Both Handed,71,160,0.205,6,22,Normal
Bob Uecker,Right Handed,73,190,0.2,14,25,Overweight
Felix Torres,Right Handed,71,165,0.254,27,23,Normal
Steve Braun,Left Handed,70,180,0.271,52,26,Overweight
Ray Knight,Right Handed,73,185,0.271,84,24,Normal
Ty Cline,Left Handed,72,170,0.238,6,23,Normal
Thad Bosley,Left Handed,75,175,0.272,20,22,Normal
Bobby Grich,Right Handed,74,180,0.266,224,23,Normal
Jimmie Hall,Left Handed,72,175,0.254,121,24,Normal
John Boccabella,Right Handed,73,195,0.219,26,26,Overweight
Brock Davis,Left Handed,70,160,0.26,1,23,Normal
Curt Blefary,Left Handed,74,195,0.237,112,25,Overweight
Mack Jones,Left Handed,73,180,0.252,133,24,Normal
Buddy Bradford,Right Handed,71,170,0.226,52,24,Normal
Hosken Powell,Left Handed,73,175,0.259,17,23,Normal
Dave Stapleton,Right Handed,73,178,0.271,41,23,Normal
Gary Ward,Right Handed,74,195,0.276,130,25,Overweight
Jim Lonborg,Right Handed,77,200,0.136,3,24,Normal
Joe Lis,Right Handed,72,175,0.233,32,24,Normal
Dan Meyer,Left Handed,71,180,0.253,86,25,Overweight
Jim Holt,Left Handed,72,180,0.265,19,24,Normal
Larry Herndon,Right Handed,75,190,0.274,107,24,Normal
Wallace Johnson,Both Handed,72,173,0.255,5,23,Normal
Eddie Leon,Right Handed,72,170,0.236,24,23,Normal
Jim Wohlford,Right Handed,71,175,0.26,21,24,Normal
J.R. Richard,Right Handed,80,222,0.168,10,24,Normal
Bill Voss,Left Handed,74,160,0.227,19,21,Normal
Keith Moreland,Right Handed,72,190,0.279,121,26,Overweight
Alex Johnson,Right Handed,72,205,0.288,78,28,Overweight
Wayne Krenchicki,Left Handed,73,180,0.266,15,24,Normal
Dave Rosello,Right Handed,71,160,0.236,10,22,Normal
Paul Schaal,Right Handed,71,165,0.244,57,23,Normal
Tito Landrum,Right Handed,71,175,0.249,13,24,Normal
Dave Edwards,Right Handed,72,170,0.237,14,23,Normal
Mario Guerrero,Right Handed,70,155,0.257,7,22,Normal
Tom Tresh,Both Handed,73,180,0.245,153,24,Normal
Ron Roenicke,Both Handed,72,180,0.238,17,24,Normal
Doug Griffin,Right Handed,72,160,0.245,7,22,Normal
Steve Blass,Right Handed,72,165,0.172,1,22,Normal
Johnnie LeMaster,Right Handed,74,165,0.222,22,21,Normal
Nate Oliver,Right Handed,70,160,0.226,2,23,Normal
Ray Sadecki,Left Handed,71,180,0.191,5,25,Overweight
Ken Rudolph,Right Handed,73,180,0.213,6,24,Normal
Wayne Nordhagen,Right Handed,74,205,0.282,39,26,Overweight
Biff Pocoroba,Both Handed,70,175,0.257,21,25,Overweight
Len Matuszek,Left Handed,74,190,0.234,30,24,Normal
Joe Lefebvre,Left Handed,70,170,0.258,31,24,Normal
Jim Maloney,Left Handed,74,190,0.201,7,24,Normal
Andre Robertson,Right Handed,70,155,0.251,5,22,Normal
Jerry Zimmerman,Right Handed,74,185,0.204,3,24,Normal
Chet Lemon,Right Handed,72,190,0.273,215,26,Overweight
Phil Mankowski,Left Handed,72,180,0.264,8,24,Normal
Cleon Jones,Right Handed,72,185,0.281,93,25,Overweight
Joaquin Andujar,Both Handed,72,170,0.127,5,23,Normal
Mike Lum,Left Handed,72,180,0.247,90,24,Normal
Johnny Grubb,Left Handed,75,175,0.278,99,22,Normal
Curt Motton,Right Handed,68,164,0.213,25,25,Overweight
Johnny Bench,Right Handed,73,197,0.267,389,26,Overweight
Dale Berra,Right Handed,72,180,0.236,49,24,Normal
Bob Meacham,Both Handed,73,175,0.236,8,23,Normal
Carl Warwick,Right Handed,70,170,0.248,31,24,Normal
Sam Bowens,Right Handed,73,188,0.223,45,25,Overweight
George Wright,Both Handed,71,180,0.245,42,25,Overweight
Luis Aguayo,Right Handed,69,173,0.236,37,26,Overweight
Hal Lanier,Right Handed,74,180,0.228,8,23,Normal
Len Randle,Both Handed,70,169,0.257,27,24,Normal
Greg Pryor,Right Handed,72,180,0.25,14,24,Normal
Jim Traber,Left Handed,72,194,0.227,27,26,Overweight
Dave Nelson,Right Handed,70,160,0.244,20,23,Normal
Lynn Jones,Right Handed,69,175,0.252,7,26,Overweight
Bryan Little,Both Handed,70,160,0.245,3,23,Normal
Ken Suarez,Right Handed,69,175,0.227,5,26,Overweight
Rick Peters,Both Handed,69,170,0.277,2,25,Overweight
Ron Stone,Left Handed,74,185,0.241,6,24,Normal
Tommie Agee,Right Handed,71,195,0.255,130,27,Overweight
Bob Bailey,Right Handed,73,180,0.257,189,24,Normal
Cap Peterson,Right Handed,74,195,0.23,19,25,Overweight
Ted Uhlaender,Left Handed,74,190,0.263,36,24,Normal
Ted Simmons,Both Handed,71,193,0.285,248,27,Overweight
Bobby Murcer,Left Handed,71,160,0.277,252,22,Normal
Dick Tracewski,Right Handed,71,160,0.213,8,22,Normal
Bill Nahorodny,Right Handed,74,200,0.241,25,26,Overweight
Bill Madlock,Right Handed,71,180,0.305,163,25,Overweight
Bob Boone,Right Handed,74,195,0.254,105,25,Overweight
Steve Kemp,Left Handed,72,195,0.278,130,26,Overweight
Rick Burleson,Right Handed,70,165,0.273,50,24,Normal
Carl Taylor,Right Handed,74,200,0.266,10,26,Overweight
Terry Harmon,Right Handed,74,180,0.233,4,23,Normal
Mike Hargrove,Left Handed,72,195,0.29,80,26,Overweight
Steve Hovley,Left Handed,70,188,0.258,8,27,Overweight
Don Leppert,Right Handed,74,220,0.229,15,28,Overweight
Lee May,Right Handed,75,195,0.267,354,24,Normal
Sam McDowell,Left Handed,77,190,0.154,2,23,Normal
Rick Renick,Right Handed,72,188,0.221,20,25,Overweight
Jeff Torborg,Right Handed,72,195,0.214,8,26,Overweight
Dave Campbell,Right Handed,73,180,0.213,20,24,Normal
Pat Kelly,Left Handed,73,185,0.264,76,24,Normal
Al Weis,Both Handed,72,160,0.219,7,22,Normal
Jerry Turner,Left Handed,69,180,0.257,45,27,Overweight
Rick Auerbach,Right Handed,72,165,0.22,9,22,Normal
Don Wilson,Right Handed,74,195,0.146,1,25,Overweight
Sandy Valdespino,Left Handed,68,170,0.23,7,26,Overweight
Ken Phelps,Left Handed,73,209,0.239,123,28,Overweight
Cesar Cedeno,Right Handed,74,175,0.285,199,22,Normal
Phil Linz,Right Handed,73,180,0.235,11,24,Normal
Manny Mota,Right Handed,70,160,0.304,31,23,Normal
Steve Renko,Right Handed,77,230,0.215,6,27,Overweight
Rick Sofield,Left Handed,73,195,0.243,9,26,Overweight
Doug DeCinces,Right Handed,74,190,0.259,237,24,Normal
John Castino,Right Handed,71,175,0.278,41,24,Normal
Dave May,Left Handed,70,186,0.251,96,27,Overweight
Ron Washington,Right Handed,71,155,0.261,20,22,Normal
Billy Grabarkewitz,Right Handed,70,165,0.236,28,24,Normal
Willie Aikens,Left Handed,75,220,0.271,110,27,Overweight
Earl Williams,Right Handed,75,215,0.247,138,27,Overweight
Don Hahn,Right Handed,73,180,0.236,7,24,Normal
Todd Cruz,Right Handed,72,175,0.22,34,24,Normal
Tom Egan,Right Handed,76,218,0.2,22,27,Overweight
Bob Heise,Right Handed,72,175,0.247,1,24,Normal
Tommy Harper,Right Handed,69,165,0.257,146,24,Normal
Joe Wallis,Both Handed,71,180,0.244,16,25,Overweight
Max Alvis,Right Handed,71,185,0.247,111,26,Overweight
Rico Carty,Right Handed,75,200,0.299,204,25,Overweight
Mike Cubbage,Left Handed,72,180,0.258,34,24,Normal
Merritt Ranew,Left Handed,71,170,0.247,8,24,Normal
Lyman Bostock,Left Handed,73,180,0.311,23,24,Normal
Damaso Garcia,Right Handed,73,165,0.283,36,22,Normal
Roy Howell,Left Handed,73,190,0.261,80,25,Overweight
Boog Powell,Left Handed,76,230,0.266,339,28,Overweight
Sonny Siebert,Right Handed,75,190,0.173,12,24,Normal
Bobby Darwin,Right Handed,74,190,0.251,83,24,Normal
Dan Driessen,Left Handed,71,187,0.267,153,26,Overweight
Bruce Miller,Right Handed,73,185,0.246,1,24,Normal
Bob Bailor,Right Handed,71,170,0.264,9,24,Normal
Tommy Helms,Right Handed,70,165,0.269,34,24,Normal
Tony Armas,Right Handed,71,182,0.252,251,25,Overweight
Willie Horton,Right Handed,71,209,0.273,325,29,Overweight
Lou Piniella,Right Handed,72,182,0.291,102,25,Overweight
Butch Hobson,Right Handed,73,193,0.248,98,25,Overweight
John Wathan,Right Handed,74,205,0.262,21,26,Overweight
Hal King,Left Handed,73,200,0.214,24,26,Overweight
Mike Krukow,Right Handed,77,205,0.193,5,24,Normal
Andres Mora,Right Handed,72,180,0.223,27,24,Normal
Barry Foote,Right Handed,75,205,0.23,57,26,Overweight
Ed Ott,Left Handed,70,190,0.259,33,27,Overweight
Alan Wiggins,Both Handed,74,160,0.259,5,21,Normal
Ron Clark,Right Handed,70,175,0.189,5,25,Overweight
Julio Gotay,Right Handed,72,180,0.26,6,24,Normal
Gary Alexander,Right Handed,74,195,0.23,55,25,Overweight
Andre Thornton,Right Handed,75,200,0.254,253,25,Overweight
Bob Oliver,Right Handed,75,205,0.256,94,26,Overweight
Bob Robertson,Right Handed,73,195,0.242,115,26,Overweight
Ollie Brown,Right Handed,74,178,0.265,102,23,Normal
Frank Quilici,Right Handed,73,170,0.214,5,22,Normal
Joe Pepitone,Left Handed,74,185,0.258,219,24,Normal
Steve Barber,Left Handed,72,195,0.115,5,26,Overweight
Norm Miller,Left Handed,70,185,0.238,24,27,Overweight
Bob Chance,Left Handed,74,196,0.261,24,25,Overweight
Julio Cruz,Both Handed,69,165,0.237,23,24,Normal
Bill Sample,Right Handed,69,175,0.272,46,26,Overweight
Craig Kusick,Right Handed,75,210,0.235,46,26,Overweight
Rudy Meoli,Left Handed,69,165,0.212,2,24,Normal
Ruppert Jones,Left Handed,70,170,0.25,147,24,Normal
Glenn Hoffman,Right Handed,73,175,0.242,23,23,Normal
Russ Gibson,Right Handed,73,195,0.228,8,26,Overweight
Terry Francona,Left Handed,73,190,0.274,16,25,Overweight
John Bateman,Right Handed,75,210,0.23,81,26,Overweight
Luis Pujols,Right Handed,74,175,0.193,6,22,Normal
Joe Gaines,Right Handed,73,190,0.241,21,25,Overweight
Doug Rader,Right Handed,74,208,0.251,155,27,Overweight
Mickey Stanley,Right Handed,73,185,0.248,117,24,Normal
Phil Bradley,Right Handed,72,185,0.286,78,25,Overweight
Winston Llenas,Right Handed,70,165,0.23,3,24,Normal
Charlie Moore,Right Handed,71,180,0.261,36,25,Overweight
Ralph Garr,Left Handed,71,185,0.306,75,26,Overweight
Tommy John,Right Handed,75,180,0.157,5,22,Normal
Bruce Benedict,Right Handed,73,175,0.242,18,23,Normal
John Ellis,Right Handed,74,225,0.262,69,29,Overweight
Wes Parker,Both Handed,73,180,0.267,64,24,Normal
David Green,Right Handed,75,170,0.268,31,21,Normal
Reid Nichols,Right Handed,71,165,0.266,22,23,Normal
Rick Reichardt,Right Handed,75,210,0.261,116,26,Overweight
Luis Tiant,Right Handed,72,180,0.164,5,24,Normal
Broderick Perkins,Left Handed,70,180,0.271,8,26,Overweight
Leon Roberts,Right Handed,75,200,0.267,78,25,Overweight
Ray Burris,Right Handed,77,200,0.151,1,24,Normal
Len Gabrielson,Left Handed,76,210,0.253,37,26,Overweight
Johnny Edwards,Left Handed,76,220,0.242,81,27,Overweight
Tom Grieve,Right Handed,74,190,0.249,65,24,Normal
Bob Forsch,Right Handed,76,200,0.213,12,24,Normal
Danny Cater,Right Handed,72,170,0.276,66,23,Normal
Bill Schroeder,Right Handed,74,200,0.24,61,26,Overweight
Clay Dalrymple,Left Handed,72,190,0.233,55,26,Overweight
Carlos May,Left Handed,71,200,0.274,90,28,Overweight
Reggie Smith,Both Handed,72,180,0.287,314,24,Normal
Ron Reed,Right Handed,78,215,0.158,0,25,Overweight
Davey Johnson,Right Handed,73,170,0.261,136,22,Normal
Ellis Valentine,Right Handed,76,205,0.278,123,25,Overweight
Roy White,Both Handed,70,160,0.271,160,23,Normal
Mike Brumley,Left Handed,70,195,0.229,5,28,Overweight
Al Luplow,Left Handed,70,175,0.235,33,25,Overweight
Dick Allen,Right Handed,71,187,0.292,351,26,Overweight
Doug Ault,Right Handed,75,200,0.236,17,25,Overweight
Mark Wagner,Right Handed,72,165,0.243,3,22,Normal
Willie Stargell,Left Handed,74,188,0.282,475,24,Normal
Steve Carlton,Left Handed,76,210,0.201,13,26,Overweight
Jake Wood,Right Handed,73,163,0.25,35,22,Normal
Del Unser,Left Handed,73,180,0.258,87,24,Normal
Bob Brower,Right Handed,71,185,0.242,17,26,Overweight
Ray Culp,Right Handed,72,200,0.123,1,27,Overweight
Ivan Murrell,Right Handed,74,195,0.236,33,25,Overweight
Lee Mazzilli,Both Handed,73,180,0.259,93,24,Normal
Garth Iorg,Right Handed,71,170,0.258,20,24,Normal
Alan Ashby,Both Handed,74,185,0.245,90,24,Normal
Bob Brenly,Right Handed,74,210,0.247,91,27,Overweight
Ron Blomberg,Left Handed,73,195,0.293,52,26,Overweight
Jim Rooker,Right Handed,72,195,0.201,7,26,Overweight
Tim Blackwell,Both Handed,71,170,0.228,6,24,Normal
Jerry Morales,Right Handed,70,155,0.259,95,22,Normal
Davey Lopes,Right Handed,69,170,0.263,155,25,Overweight
Catfish Hunter,Right Handed,72,190,0.226,6,26,Overweight
Mario Soto,Right Handed,72,174,0.132,1,24,Normal
Jimmy Wynn,Right Handed,70,160,0.25,291,23,Normal
Hank Allen,Right Handed,72,190,0.241,6,26,Overweight
Jim Fregosi,Right Handed,73,190,0.265,151,25,Overweight
Pepe Frias,Right Handed,70,159,0.24,1,23,Normal
Mike Schmidt,Right Handed,74,195,0.267,548,25,Overweight
Willie Montanez,Left Handed,72,170,0.275,139,23,Normal
Rey Quinones,Right Handed,71,160,0.243,29,22,Normal
Mike Squires,Left Handed,71,185,0.26,6,26,Overweight
Champ Summers,Left Handed,74,205,0.255,54,26,Overweight
Bert Campaneris,Right Handed,70,160,0.259,79,23,Normal
Bobby Valentine,Right Handed,70,189,0.26,12,27,Overweight
Rob Andrews,Right Handed,72,185,0.251,3,25,Overweight
Tom Haller,Left Handed,76,195,0.257,134,24,Normal
Ed Stroud,Left Handed,71,180,0.237,14,25,Overweight
Ron Swoboda,Right Handed,74,195,0.242,73,25,Overweight
Harry Spilman,Left Handed,73,180,0.237,18,24,Normal
Bob Barton,Right Handed,72,175,0.226,9,24,Normal
Daryl Sconiers,Left Handed,74,185,0.265,15,24,Normal
Joe Torre,Right Handed,74,212,0.297,252,27,Overweight
Al Ferrara,Right Handed,73,200,0.259,51,26,Overweight
Sixto Lezcano,Right Handed,70,165,0.271,148,24,Normal
Dave Nicholson,Right Handed,74,215,0.212,61,28,Overweight
Freddie Patek,Right Handed,65,148,0.242,41,25,Overweight
Ken Hubbs,Right Handed,74,175,0.247,14,22,Normal
Pepe Mangual,Right Handed,70,157,0.242,16,23,Normal
Leron Lee,Left Handed,72,196,0.25,31,27,Overweight
Steve Ontiveros,Both Handed,72,185,0.274,24,25,Overweight
Willie Davis,Left Handed,74,180,0.279,182,23,Normal
Tom Lawless,Right Handed,71,170,0.207,2,24,Normal
Jerry Moses,Right Handed,75,210,0.251,25,26,Overweight
Bobby Bonds,Right Handed,73,190,0.268,332,25,Overweight
Dave McNally,Right Handed,71,185,0.133,9,26,Overweight
Darrell Brown,Both Handed,72,184,0.274,1,25,Overweight
Roy Foster,Right Handed,72,185,0.253,45,25,Overweight
Denis Menke,Right Handed,72,185,0.25,101,25,Overweight
Hal Breeden,Right Handed,74,200,0.243,21,26,Overweight
Manny Trillo,Right Handed,73,150,0.263,61,20,Normal
Jackie Gutierrez,Right Handed,71,175,0.237,4,24,Normal
Jerry Kenney,Left Handed,73,170,0.237,7,22,Normal
Fred Kendall,Right Handed,73,185,0.234,31,24,Normal
Mike Anderson,Right Handed,74,200,0.246,28,26,Overweight
Joe Charboneau,Right Handed,74,205,0.266,29,26,Overweight
Jimmie Schaffer,Right Handed,69,170,0.223,11,25,Overweight
Junior Kennedy,Right Handed,71,175,0.248,4,24,Normal
Wilbur Howard,Both Handed,74,170,0.25,6,22,Normal
Rod Gilbreath,Right Handed,74,180,0.248,14,23,Normal
Mark Brouhard,Right Handed,73,210,0.259,25,28,Overweight
Mike Young,Both Handed,74,195,0.247,72,25,Overweight
Chris Speier,Right Handed,73,175,0.246,112,23,Normal
Gene Michael,Both Handed,74,183,0.229,15,23,Normal
Vic Harris,Both Handed,71,165,0.217,13,23,Normal
Mike Fischlin,Right Handed,73,165,0.22,3,22,Normal
Don Money,Right Handed,73,170,0.261,176,22,Normal
Joe Rudi,Right Handed,74,200,0.264,179,26,Overweight
Jim Rice,Right Handed,74,200,0.298,382,26,Overweight
Gil Garrido,Right Handed,69,150,0.237,1,22,Normal
Marty Perez,Right Handed,71,160,0.246,22,22,Normal
Tom Matchick,Left Handed,73,173,0.215,4,23,Normal
Jack Perconte,Left Handed,70,160,0.27,2,23,Normal
Ed Kirkpatrick,Left Handed,71,195,0.238,85,27,Overweight
Jerry Grote,Right Handed,70,185,0.252,39,27,Overweight
Ellie Hendricks,Left Handed,73,175,0.22,62,23,Normal
Jim Beauchamp,Right Handed,74,190,0.231,14,24,Normal
Tito Fuentes,Both Handed,71,175,0.268,45,24,Normal
Ron Brand,Right Handed,67,167,0.239,3,26,Overweight
Leo Cardenas,Right Handed,71,150,0.257,118,21,Normal
Art Shamsky,Left Handed,73,168,0.253,68,22,Normal
Ron Cey,Right Handed,70,185,0.261,316,27,Overweight
Skip Jutze,Right Handed,71,190,0.215,3,26,Overweight
Butch Wynegar,Both Handed,73,190,0.255,65,25,Overweight
Ron LeFlore,Right Handed,72,200,0.288,59,27,Overweight
Bill Russell,Right Handed,72,175,0.263,46,24,Normal
Gene Tenace,Right Handed,72,190,0.241,201,26,Overweight
Bubba Morton,Right Handed,70,175,0.267,14,25,Overweight
Ellie Rodriguez,Right Handed,71,185,0.245,16,26,Overweight
Darrel Chaney,Both Handed,74,188,0.217,14,24,Normal
Dick Nen,Left Handed,74,200,0.224,21,26,Overweight
Bill Freehan,Right Handed,75,203,0.262,200,25,Overweight
Steve Nicosia,Right Handed,70,185,0.248,11,27,Overweight
Ted Savage,Right Handed,73,185,0.233,34,24,Normal
Pete Mackanin,Right Handed,74,190,0.226,30,24,Normal
Rich Dauer,Right Handed,72,180,0.257,43,24,Normal
Mick Kelleher,Right Handed,69,176,0.213,0,26,Overweight
Rowland Office,Left Handed,72,170,0.259,32,23,Normal
Rick Leach,Left Handed,73,180,0.268,18,24,Normal
Dwayne Murphy,Left Handed,73,185,0.246,166,24,Normal
Larry Harlow,Left Handed,74,185,0.248,12,24,Normal
Mike Epstein,Left Handed,75,230,0.244,130,29,Overweight
Jerry Mumphrey,Both Handed,74,185,0.289,70,24,Normal
Don Sutton,Right Handed,73,185,0.144,0,24,Normal
Glenn Beckert,Right Handed,73,190,0.283,22,25,Overweight
Ron Davis,Right Handed,72,175,0.233,10,24,Normal
Mike Shannon,Right Handed,75,195,0.255,68,24,Normal
Jason Thompson,Left Handed,76,200,0.261,208,24,Normal
Wayne Tolleson,Both Handed,69,160,0.241,9,24,Normal
Mike Jorgensen,Left Handed,72,195,0.243,95,26,Overweight
Ed Romero,Right Handed,71,160,0.247,8,22,Normal
Rick Joseph,Right Handed,73,192,0.243,13,25,Overweight
Cecil Cooper,Left Handed,74,165,0.298,241,21,Normal
Bill Almon,Right Handed,75,180,0.254,36,22,Normal
Joe Ferguson,Right Handed,74,200,0.24,122,26,Overweight
Jerry Terrell,Right Handed,71,165,0.253,4,23,Normal
Dave Revering,Left Handed,76,210,0.265,62,26,Overweight
Curt Ford,Left Handed,70,150,0.245,7,22,Normal
Jerry Dybzinski,Right Handed,74,180,0.234,3,23,Normal
Bob Burda,Left Handed,71,174,0.224,13,24,Normal
Jesse Gonder,Left Handed,70,180,0.251,26,26,Overweight
Gary Sutherland,Right Handed,72,185,0.243,24,25,Overweight
Bob Coluccio,Right Handed,71,183,0.22,26,26,Overweight
Dave Rader,Left Handed,71,165,0.257,30,23,Normal
Ron Gardenhire,Right Handed,72,175,0.232,4,24,Normal
Bill Sharp,Left Handed,70,178,0.255,9,26,Overweight
Alan Bannister,Right Handed,71,170,0.27,19,24,Normal
Bob Watson,Right Handed,72,201,0.295,184,27,Overweight
Ken Harrelson,Right Handed,74,190,0.239,131,24,Normal
Bobby Wine,Right Handed,73,187,0.215,30,25,Overweight
John Kennedy,Right Handed,72,185,0.225,32,25,Overweight
Chico Ruiz,Both Handed,72,169,0.24,2,23,Normal
Gail Hopkins,Left Handed,70,198,0.266,25,28,Overweight
Doug Frobel,Left Handed,76,196,0.201,20,24,Normal
Luis Melendez,Right Handed,72,165,0.248,9,22,Normal
Bill Plummer,Right Handed,73,190,0.188,14,25,Overweight
Buck Rodgers,Both Handed,74,190,0.232,31,24,Normal
Phil Niekro,Right Handed,73,180,0.169,7,24,Normal
Tom Poquette,Left Handed,70,175,0.268,10,25,Overweight
Brian Asselstine,Left Handed,73,175,0.254,12,23,Normal
Rick Miller,Left Handed,72,175,0.269,28,24,Normal
Ed Charles,Right Handed,70,170,0.263,86,24,Normal
Luis Gomez,Right Handed,69,150,0.21,0,22,Normal
Floyd Rayford,Right Handed,70,190,0.244,38,27,Overweight
Tony Conigliaro,Right Handed,75,185,0.264,166,23,Normal
Jim Barr,Right Handed,75,205,0.162,1,26,Overweight
Jerry Remy,Left Handed,69,165,0.275,7,24,Normal
Frank Duffy,Right Handed,73,180,0.232,26,24,Normal
Tom O'Malley,Left Handed,72,180,0.256,13,24,Normal
Phil Garner,Right Handed,70,175,0.26,109,25,Overweight
